Iteration,Vdd,Cload,Slew,Temp,Wp,Reason
1338,0.7999999999999999,3.218181818181818e-14,1e-11,25,3.6e-07,Power value not found in log
1339,0.7999999999999999,3.218181818181818e-14,1e-11,75,1.8e-07,Power value not found in log
1340,0.7999999999999999,3.218181818181818e-14,1e-11,75,3.6e-07,Power value not found in log
1342,0.7999999999999999,3.218181818181818e-14,1e-11,100,3.6e-07,Power value not found in log
1346,0.7999999999999999,3.218181818181818e-14,5e-11,-40,3.6e-07,Power value not found in log
1347,0.7999999999999999,3.218181818181818e-14,5e-11,-25,1.8e-07,Power value not found in log
1349,0.7999999999999999,3.218181818181818e-14,5e-11,0,1.8e-07,Power value not found in log
1351,0.7999999999999999,3.218181818181818e-14,5e-11,25,1.8e-07,Power value not found in log
1352,0.7999999999999999,3.218181818181818e-14,5e-11,25,3.6e-07,Power value not found in log
1353,0.7999999999999999,3.218181818181818e-14,5e-11,75,1.8e-07,Power value not found in log
1355,0.7999999999999999,3.218181818181818e-14,5e-11,100,1.8e-07,Power value not found in log
1356,0.7999999999999999,3.218181818181818e-14,5e-11,100,3.6e-07,Power value not found in log
1357,0.7999999999999999,3.218181818181818e-14,5e-11,125,1.8e-07,Power value not found in log
1359,0.7999999999999999,3.218181818181818e-14,1e-10,-40,1.8e-07,Power value not found in log
1360,0.7999999999999999,3.218181818181818e-14,1e-10,-40,3.6e-07,Power value not found in log
1362,0.7999999999999999,3.218181818181818e-14,1e-10,-25,3.6e-07,Power value not found in log
1366,0.7999999999999999,3.218181818181818e-14,1e-10,25,3.6e-07,Power value not found in log
1367,0.7999999999999999,3.218181818181818e-14,1e-10,75,1.8e-07,Power value not found in log
1368,0.7999999999999999,3.218181818181818e-14,1e-10,75,3.6e-07,Power value not found in log
1369,0.7999999999999999,3.218181818181818e-14,1e-10,100,1.8e-07,Power value not found in log
1371,0.7999999999999999,3.218181818181818e-14,1e-10,125,1.8e-07,Power value not found in log
1375,0.7999999999999999,3.218181818181818e-14,2e-10,-25,1.8e-07,Power value not found in log
1376,0.7999999999999999,3.218181818181818e-14,2e-10,-25,3.6e-07,Power value not found in log
1378,0.7999999999999999,3.218181818181818e-14,2e-10,0,3.6e-07,Power value not found in log
1379,0.7999999999999999,3.218181818181818e-14,2e-10,25,1.8e-07,Power value not found in log
1385,0.7999999999999999,3.218181818181818e-14,2e-10,125,1.8e-07,Power value not found in log
1388,0.7999999999999999,3.218181818181818e-14,4e-10,-40,3.6e-07,Power value not found in log
1390,0.7999999999999999,3.218181818181818e-14,4e-10,-25,3.6e-07,Power value not found in log
1393,0.7999999999999999,3.218181818181818e-14,4e-10,25,1.8e-07,Power value not found in log
1394,0.7999999999999999,3.218181818181818e-14,4e-10,25,3.6e-07,Power value not found in log
1395,0.7999999999999999,3.218181818181818e-14,4e-10,75,1.8e-07,Power value not found in log
1397,0.7999999999999999,3.218181818181818e-14,4e-10,100,1.8e-07,Power value not found in log
1399,0.7999999999999999,3.218181818181818e-14,4e-10,125,1.8e-07,Power value not found in log
1401,0.7999999999999999,3.6636363636363636e-14,1e-11,-40,1.8e-07,Power value not found in log
1408,0.7999999999999999,3.6636363636363636e-14,1e-11,25,3.6e-07,Power value not found in log
1409,0.7999999999999999,3.6636363636363636e-14,1e-11,75,1.8e-07,Power value not found in log
1410,0.7999999999999999,3.6636363636363636e-14,1e-11,75,3.6e-07,Power value not found in log
1411,0.7999999999999999,3.6636363636363636e-14,1e-11,100,1.8e-07,Power value not found in log
1413,0.7999999999999999,3.6636363636363636e-14,1e-11,125,1.8e-07,Power value not found in log
1414,0.7999999999999999,3.6636363636363636e-14,1e-11,125,3.6e-07,Power value not found in log
1415,0.7999999999999999,3.6636363636363636e-14,5e-11,-40,1.8e-07,Power value not found in log
1416,0.7999999999999999,3.6636363636363636e-14,5e-11,-40,3.6e-07,Power value not found in log
1418,0.7999999999999999,3.6636363636363636e-14,5e-11,-25,3.6e-07,Power value not found in log
1419,0.7999999999999999,3.6636363636363636e-14,5e-11,0,1.8e-07,Power value not found in log
1421,0.7999999999999999,3.6636363636363636e-14,5e-11,25,1.8e-07,Power value not found in log
1423,0.7999999999999999,3.6636363636363636e-14,5e-11,75,1.8e-07,Power value not found in log
1425,0.7999999999999999,3.6636363636363636e-14,5e-11,100,1.8e-07,Power value not found in log
1426,0.7999999999999999,3.6636363636363636e-14,5e-11,100,3.6e-07,Power value not found in log
1427,0.7999999999999999,3.6636363636363636e-14,5e-11,125,1.8e-07,Power value not found in log
1428,0.7999999999999999,3.6636363636363636e-14,5e-11,125,3.6e-07,Power value not found in log
1430,0.7999999999999999,3.6636363636363636e-14,1e-10,-40,3.6e-07,Power value not found in log
1431,0.7999999999999999,3.6636363636363636e-14,1e-10,-25,1.8e-07,Power value not found in log
1432,0.7999999999999999,3.6636363636363636e-14,1e-10,-25,3.6e-07,Power value not found in log
1434,0.7999999999999999,3.6636363636363636e-14,1e-10,0,3.6e-07,Power value not found in log
1435,0.7999999999999999,3.6636363636363636e-14,1e-10,25,1.8e-07,Power value not found in log
