Vdd,Cload,Slew,Temp,Wp,Gate_ID,Power
0.7,1.436363636363636e-14,1e-11,-25,3.6e-07,1,3.65912e-06
0.7,1.436363636363636e-14,1e-11,0,1.8e-07,1,3.60173e-06
0.7,1.436363636363636e-14,1e-11,0,3.6e-07,1,3.65991e-06
0.7,1.436363636363636e-14,1e-11,25,1.8e-07,1,3.60231e-06
0.7,1.436363636363636e-14,1e-11,25,3.6e-07,1,3.66068e-06
0.7,1.436363636363636e-14,1e-11,75,1.8e-07,1,3.60282e-06
0.7,1.436363636363636e-14,1e-11,75,3.6e-07,1,3.66241e-06
0.7,1.436363636363636e-14,1e-11,100,1.8e-07,1,3.60162e-06
0.7,1.436363636363636e-14,1e-11,100,3.6e-07,1,3.66303e-06
0.7,1.436363636363636e-14,1e-11,125,1.8e-07,1,3.59637e-06
0.7,1.436363636363636e-14,1e-11,125,3.6e-07,1,3.66301e-06
0.7,1.436363636363636e-14,5e-11,-40,1.8e-07,1,3.59614e-06
0.7,1.436363636363636e-14,5e-11,-40,3.6e-07,1,3.648e-06
0.7,1.436363636363636e-14,5e-11,-25,1.8e-07,1,3.59723e-06
0.7,1.436363636363636e-14,5e-11,-25,3.6e-07,1,3.65045e-06
0.7,1.436363636363636e-14,5e-11,0,1.8e-07,1,3.59856e-06
0.7,1.436363636363636e-14,5e-11,0,3.6e-07,1,3.65294e-06
0.7,1.436363636363636e-14,5e-11,25,1.8e-07,1,3.59964e-06
0.7,1.436363636363636e-14,5e-11,25,3.6e-07,1,3.65491e-06
0.7,1.436363636363636e-14,5e-11,75,1.8e-07,1,3.60072e-06
0.7,1.436363636363636e-14,5e-11,75,3.6e-07,1,3.65864e-06
0.7,1.436363636363636e-14,5e-11,100,1.8e-07,1,3.59858e-06
0.7,1.436363636363636e-14,5e-11,100,3.6e-07,1,3.65971e-06
0.7,1.436363636363636e-14,5e-11,125,1.8e-07,1,3.59076e-06
0.7,1.436363636363636e-14,5e-11,125,3.6e-07,1,3.66016e-06
0.7,1.436363636363636e-14,1e-10,-40,1.8e-07,1,3.59322e-06
0.7,1.436363636363636e-14,1e-10,-40,3.6e-07,1,3.64225e-06
0.7,1.436363636363636e-14,1e-10,-25,1.8e-07,1,3.59511e-06
0.7,1.436363636363636e-14,1e-10,-25,3.6e-07,1,3.64531e-06
0.7,1.436363636363636e-14,1e-10,0,1.8e-07,1,3.59688e-06
0.7,1.436363636363636e-14,1e-10,0,3.6e-07,1,3.64874e-06
0.7,1.436363636363636e-14,1e-10,25,1.8e-07,1,3.59824e-06
0.7,1.436363636363636e-14,1e-10,25,3.6e-07,1,3.65134e-06
0.7,1.436363636363636e-14,1e-10,75,1.8e-07,1,3.59899e-06
0.7,1.436363636363636e-14,1e-10,75,3.6e-07,1,3.65549e-06
0.7,1.436363636363636e-14,1e-10,100,1.8e-07,1,3.59423e-06
0.7,1.436363636363636e-14,1e-10,100,3.6e-07,1,3.65697e-06
0.7,1.436363636363636e-14,1e-10,125,1.8e-07,1,3.58104e-06
0.7,1.436363636363636e-14,1e-10,125,3.6e-07,1,3.65778e-06
0.7,1.436363636363636e-14,2e-10,-40,1.8e-07,1,3.59022e-06
0.7,1.436363636363636e-14,2e-10,-40,3.6e-07,1,3.63619e-06
0.7,1.436363636363636e-14,2e-10,-25,1.8e-07,1,3.59195e-06
0.7,1.436363636363636e-14,2e-10,-25,3.6e-07,1,3.63959e-06
0.7,1.436363636363636e-14,2e-10,0,1.8e-07,1,3.59423e-06
0.7,1.436363636363636e-14,2e-10,0,3.6e-07,1,3.64351e-06
